Date,Close
10/09/1978,222.45
10/10/1978,223.6
10/11/1978,226
10/12/1978,227.2
10/13/1978,225.05
10/16/1978,224.3
10/17/1978,228
10/18/1978,229.25
10/19/1978,227
10/20/1978,227.45
10/23/1978,229
10/24/1978,226.3
10/25/1978,230.1
10/26/1978,233.3
10/27/1978,234.15
10/30/1978,241.3
10/31/1978,243.65
11/01/1978,238.65
11/02/1978,220.4
11/03/1978,219.55
11/06/1978,208.25
11/07/1978,214.4
11/08/1978,221.75
11/09/1978,216.6
11/10/1978,209.6
11/13/1978,209.1
11/14/1978,210.6
11/15/1978,207
11/16/1978,197.1
11/17/1978,198.3
11/20/1978,199.15
11/21/1978,199.1
11/22/1978,197.9
11/23/1978,201.35
11/24/1978,202.75
11/27/1978,199.7
11/28/1978,197.2
11/29/1978,193.65
11/30/1978,193.7
12/01/1978,194.05
12/04/1978,197.7
12/05/1978,196.65
12/06/1978,195.5
12/07/1978,198.1
12/08/1978,200.35
12/11/1978,205.4
12/12/1978,204.05
12/13/1978,203
12/14/1978,202.8
12/15/1978,205.6
12/18/1978,212.2
12/19/1978,220.35
12/20/1978,216.75
12/21/1978,213.25
12/22/1978,216
12/27/1978,220.75
12/28/1978,223
12/29/1978,224.5
01/02/1979,227.15
01/03/1979,222.1
01/04/1979,222.5
01/05/1979,226.7
01/08/1979,224.1
01/09/1979,224
01/10/1979,220.4
01/11/1979,221.2
01/12/1979,216.6
01/15/1979,216.55
01/16/1979,219
01/17/1979,225
01/18/1979,227.8
01/19/1979,230.7
01/22/1979,234.4
01/23/1979,230.8
01/24/1979,234.5
01/25/1979,235.1
01/26/1979,234.35
01/29/1979,234.05
01/30/1979,233.65
01/31/1979,233.05
02/01/1979,232.4
02/02/1979,229.9
02/05/1979,238.8
02/06/1979,242.55
02/07/1979,249
02/08/1979,254
02/09/1979,243.9
02/12/1979,249.6
02/13/1979,244
02/14/1979,237.6
02/15/1979,245
02/16/1979,245.95
02/19/1979,249.6
02/20/1979,248
02/21/1979,249.25
02/22/1979,251.15
02/23/1979,252.1
02/26/1979,250.3
02/27/1979,247.8
02/28/1979,250.9
03/01/1979,249.3
03/02/1979,248.7
03/05/1979,242.8
03/06/1979,239.3
03/07/1979,242
03/08/1979,238.75
03/09/1979,240.5
03/12/1979,241.1
03/13/1979,239.4
03/14/1979,239.9
03/15/1979,239.8
03/16/1979,243.35
03/19/1979,243.85
03/20/1979,242
03/21/1979,240.25
03/22/1979,242.9
03/23/1979,242.15
03/26/1979,244.3
03/27/1979,246.3
03/28/1979,243.75
03/29/1979,241.6
03/30/1979,239.65
04/02/1979,240.05
04/03/1979,239.9
04/04/1979,239.8
04/05/1979,240.5
04/06/1979,239.85
04/09/1979,240
04/10/1979,239.6
04/11/1979,239.1
04/12/1979,233.75
04/17/1979,231.75
04/18/1979,234.5
04/19/1979,241
04/20/1979,237.8
04/23/1979,236.75
04/24/1979,240
04/25/1979,241.5
04/26/1979,242.25
04/27/1979,242.75
04/30/1979,243.45
05/01/1979,247.7
05/02/1979,246.6
05/03/1979,245.9
05/04/1979,247.65
05/08/1979,250.2
05/09/1979,247
05/10/1979,251.7
05/11/1979,251.1
05/14/1979,250.65
05/15/1979,253.4
05/16/1979,256.1
05/17/1979,257.55
05/18/1979,257.5
05/21/1979,261.05
05/22/1979,265.15
05/23/1979,264.4
05/24/1979,263
05/25/1979,270
05/29/1979,276.1
05/30/1979,272.6
05/31/1979,277.15
06/01/1979,276.7
06/04/1979,273.6
06/05/1979,275.75
06/06/1979,280.75
06/07/1979,279.3
06/08/1979,277.4
06/11/1979,282.4
06/12/1979,278.9
06/13/1979,276.1
06/14/1979,278.8
06/15/1979,279.3
06/18/1979,279.9
06/19/1979,279.25
06/20/1979,280.7
06/21/1979,280.6
06/22/1979,281.95
06/25/1979,284.5
06/26/1979,281.9
06/27/1979,281
06/28/1979,281.3
06/29/1979,276.45
07/02/1979,282.2
07/03/1979,281.8
07/04/1979,283.3
07/05/1979,286.75
07/06/1979,290.2
07/09/1979,290.25
07/10/1979,289.9
07/11/1979,290.6
07/12/1979,290.75
07/13/1979,288.6
07/16/1979,291.4
07/17/1979,296.5
07/18/1979,303.85
07/19/1979,300.1
07/20/1979,298.5
07/23/1979,303.6
07/24/1979,306.5
07/25/1979,303
07/26/1979,307
07/27/1979,305.4
